"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\a_star.py", "Python", 1, 0, 0, 1
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\agent_explorer.py", "Python", 142, 1, 34, 177
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\environment.py", "Python", 18, 0, 7, 25
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\main.py", "Python", 1, 0, -2, -1
"Total", "-", 162, 1, 39, 202
