"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\a_star.py", "Python", 128, 0, 8, 42, 178
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\agent_explorer.py", "Python", 245, 0, 3, 70, 318
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\agent_rescuer.py", "Python", 216, 0, 1, 61, 278
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\environment.py", "Python", 122, 0, 0, 32, 154
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\file_reader.py", "Python", 51, 0, 0, 9, 60
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\main.py", "Python", 58, 0, 0, 32, 90
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\README.md", "Markdown", 0, 3, 0, 1, 4
"Total", "-", 820, 3, 12, 247, 1082
