"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\agent_explorer.py", "Python", 21, 2, 7, 30
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\agent_rescuer.py", "Python", 81, 1, 15, 97
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\environment.py", "Python", 17, 0, 3, 20
"c:\Users\breno\Storage\BSI Temp\Sistemas Inteligentes\Projects\ProjectsIntelligentSystems\Project 1\main.py", "Python", 42, 0, 27, 69
"Total", "-", 161, 3, 52, 216
